cdNom;ZNIEFF Alsace;ZNIEFF Aquitaine;ZNIEFF Auvergne;ZNIEFF Basse Normandie;ZNIEFF Bourgogne;ZNIEFF Bretagne;ZNIEFF Centre;ZNIEFF Champagne-Ardenne;ZNIEFF Corse;ZNIEFF Franche Comté;ZNIEFF Haute Normandie;ZNIEFF Ile de France;ZNIEFF Languedoc Roussillon;ZNIEFF Limousin;ZNIEFF Lorraine;ZNIEFF Midi-Pyrénées;ZNIEFF Nord Pas-de-Calais;ZNIEFF Pays de la Loire;ZNIEFF Picardie;ZNIEFF Poitou-Charentes;ZNIEFF PACA;ZNIEFF Rhône Alpes;SCAP France;SCAP Alsace;SCAP Aquitaine;SCAP Auvergne;SCAP Basse Normandie;SCAP Bourgogne;SCAP Bretagne;SCAP Centre;SCAP Champagne-Ardenne;SCAP Corse;SCAP Franche Comté;SCAP Haute Normandie;SCAP Ile de France;SCAP Languedoc Roussillon;SCAP Limousin;SCAP Lorraine;SCAP Midi-Pyrénées;SCAP Nord Pas-de-Calais;SCAP Pays de la Loire;SCAP Picardie;SCAP Poitou-Charentes;SCAP PACA;SCAP Rhône Alpes
60295;O;O;O;N;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;N;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
60297;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
60313;O;O;O;N;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;N;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
60330;N;O;O;N;O;N;O;N;O;O;N;N;O;O;N;O;N;O;N;O;O;O;O;N;O;N;N;O;N;O;N;O;O;N;N;O;O;N;O;N;O;N;O;O;O
60337;N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;O;N;N;N;N;O;N;O;N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;N;N;N;N;N;N;N
60345;O;O;O;N;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
60360;O;O;N;N;N;N;O;O;N;N;N;O;N;N;O;O;N;N;N;N;N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
60383;N;O;O;N;N;O;O;O;O;N;N;O;N;O;O;O;N;O;N;O;N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
60400;O;O;O;N;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
60408;O;O;O;N;N;O;O;O;O;O;O;O;N;O;O;O;O;O;O;O;N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
60411;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;N;N;N;N;N;N;N
60418;O;O;O;N;O;O;O;O;N;O;O;O;O;O;O;O;O;O;O;O;O;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
60427;N;O;N;N;N;N;N;N;N;O;N;O;O;O;N;O;N;N;N;O;O;O;O;N;O;N;N;N;N;N;N;N;O;N;N;O;O;N;O;N;N;N;N;O;O
60439;N;N;N;N;N;N;N;N;O;N;N;N;O;N;N;O;N;N;N;N;O;O;O;N;N;N;N;N;N;N;N;O;N;N;N;O;N;N;N;N;N;N;N;O;O
60447;O;N;N;N;N;N;N;O;N;N;N;N;N;N;N;N;O;N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
60457;N;O;N;N;N;O;N;N;O;N;N;O;O;O;N;O;N;N;N;N;O;O;O;N;O;N;N;N;N;N;N;O;N;N;N;N;N;N;N;N;N;N;N;N;N
60461;O;O;O;N;N;O;O;O;O;N;O;O;O;O;O;O;N;N;O;O;N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
60463;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
60468;O;O;O;N;N;O;O;O;N;N;O;O;O;O;O;O;O;O;O;O;N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
60479;N;N;N;N;N;N;N;O;N;N;N;O;N;N;O;O;N;N;N;N;N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
60489;O;O;O;N;N;N;N;N;N;N;N;O;N;N;O;O;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
60490;N;O;O;N;N;N;O;O;N;N;N;O;N;N;O;O;O;O;O;O;N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
60506;N;O;O;N;N;N;N;N;N;O;N;N;N;N;N;O;N;N;N;N;N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
60518;O;O;O;N;N;O;O;O;N;N;N;O;N;N;O;O;O;O;O;O;N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
60520;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
60527;O;O;O;N;N;N;O;O;O;N;O;O;N;N;O;O;O;O;O;O;N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
60537;O;N;O;N;N;N;N;O;N;N;N;O;N;N;O;N;O;N;N;N;O;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
60557;N;O;O;N;N;N;N;N;N;N;N;N;O;N;N;O;N;N;N;N;N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
79298;N;N;N;N;N;N;N;N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;N;N;N;N;N;N;O;N;N;N;N;N;N;N;N;N;N;N;N;N
79299;O;O;O;N;N;O;N;N;N;O;N;O;O;O;O;O;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
79300;O;N;O;N;N;N;N;O;N;O;N;O;N;O;O;N;O;N;O;N;N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
79301;O;O;O;N;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
79302;O;N;O;N;N;N;N;O;N;N;N;N;N;N;O;N;N;N;N;N;O;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
79303;O;N;N;N;N;N;O;N;N;N;O;O;N;N;N;O;N;N;N;O;N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
79305;O;O;O;N;O;N;N;O;O;O;N;N;O;O;O;O;N;N;N;O;O;O;O;O;O;N;N;O;N;N;O;O;O;N;N;O;O;N;O;N;N;N;O;O;O
163463;O;N;N;N;N;N;N;N;O;N;N;N;N;N;N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
200117;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
200118;N;N;N;N;N;N;O;O;N;N;N;O;N;N;O;O;N;O;N;O;N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
