cdNom;CDH2;CDH4;IBE2;IBE3;IBO2;IBOEU;NM;NM2
60295;O;O;O;N;O;O;N;O
60297;O;O;O;N;O;O;N;O
60313;O;O;O;N;O;O;N;O
60330;O;O;O;N;O;O;N;O
60337;O;O;O;N;O;O;O;O
60345;O;O;O;N;O;O;N;O
60360;N;O;O;N;O;N;N;O
60383;N;O;O;N;O;O;N;O
60400;O;O;O;N;O;O;N;O
60408;N;O;O;N;O;O;N;O
60411;N;O;O;N;O;N;N;O
60418;O;O;O;N;O;O;N;O
60427;O;O;O;N;O;O;N;O
60439;O;O;O;N;O;O;N;O
60447;O;O;O;N;O;O;O;O
60457;N;O;O;N;O;O;N;O
60461;N;O;O;N;O;O;N;O
60463;N;O;O;N;O;O;N;O
60468;N;O;O;N;O;O;N;O
60479;N;O;N;O;O;O;N;O
60489;N;O;O;N;O;O;N;O
60490;N;O;O;N;O;O;N;O
60506;N;O;O;N;O;O;N;O
60518;N;O;O;N;O;O;N;O
60520;N;O;O;N;O;O;N;O
60527;N;O;O;N;O;O;N;O
60537;N;O;O;N;O;O;N;O
60557;N;O;O;N;O;O;N;O
79298;N;O;O;N;O;N;N;O
79299;N;O;O;N;O;N;N;O
79300;N;O;O;N;O;O;N;O
79301;O;O;O;N;O;N;N;O
79302;N;O;O;N;O;O;N;O
79303;N;O;O;N;O;O;N;O
79305;O;O;O;N;O;O;N;O
163463;N;O;O;N;O;N;N;O
200115;O;O;O;N;O;O;N;O
200117;O;O;O;N;O;O;N;O
200118;N;O;O;N;O;O;N;O
