cdNom;LR Monde;LR Europe;LR France;LR Alsace;LR Aquitaine;LR Auvergne;LR Basse Normandie;LR Bourgogne;LR Bretagne;LR Centre;LR Champagne-Ardenne;LR Corse;LR Franche Comté;LR Haute Normandie;LR Ile de France;LR Languedoc Roussillon;LR Limousin;LR Lorraine;LR Midi-Pyrénées;LR Nord Pas-de-Calais;LR Pays de la Loire;LR Picardie;LR Poitou-Charentes;LR PACA;LR Rhône Alpes
60345;NT;VU;LC;VU;;VU;NT;NT;NT;NT;V;DD;NT;VU;CR;MODE;;;;;DD;EN;;;LC
60418;LC;LC;LC;NT;;VU;LC;NT;NT;LC;E;0;VU;NT;VU;MODE;;;;;VU;EN;;;NT
60295;LC;NT;LC;NA;;0;NT;EN;EN;NT;E;VU;EN;VU;CR;FORT;;;;;LC;VU;;;EN
60297;LC;NT;LC;NA;;EN;NT;EN;EN;NT;E;VU;EN;VU;CR;FORT;;;;;LC;VU;;;EN
60457;VU;DD;VU;0;;NT;0;0;0;NA;0;VU;0;NA;NA;FORT;;;;;0;0;;;DD
79305;NT;NT;VU;CR;;EN;0;RE;0;NA;R;VU;VU;0;0;TRFO;;;;;0;0;;;EN
60557;LC;LC;NT;0;;EN;0;0;0;0;0;LC;NT;0;0;FORT;;;;;0;0;;;LC
60383;LC;LC;LC;LC;;LC;LC;NT;LC;NT;E;LC;LC;LC;LC;MODE;;;;;0;LC;;;LC
60400;LC;LC;LC;VU;;VU;LC;NT;NT;LC;0;NT;VU;LC;NT;MODE;;;;;0;LC;;;NT
79299;DD;DD;LC;DD;;NT;LC;DD;DD;DD;AP;0;VU;DD;DD;FORT;;;;;0;DD;;;NT
79301;NT;VU;NT;NT;;EN;NT;VU;NT;DD;V;NT;VU;NT;NT;FORT;;;;;DD;VU;;;VU
79300;LC;LC;LC;DD;;LC;NE;DD;0;DD;AP;0;VU;NA;DD;MODE;;;;;0;DD;;;NT
60439;VU;VU;NT;0;;0;0;0;0;0;0;EN;0;0;0;TRFO;;;;;0;0;;;EN
200117;VU;VU;NT;0;;0;0;0;0;0;0;EN;0;0;0;0;;;;;0;0;;;EN
200118;LC;LC;LC;LC;;LC;LC;LC;LC;NT;AS;LC;LC;LC;EN;FAIB;;;;;0;LC;;;LC
60408;LC;LC;LC;NT;;LC;LC;VU;NT;LC;AS;VU;VU;LC;LC;MODE;;;;;0;LC;;;LC
60447;NT;NT;EN;NT;;LC;0;V;0;0;R;0;0;0;0;0;;;;;0;CR;;;0
60411;LC;NA;VU;0;;0;0;0;0;0;0;0;0;0;0;TRFO;;;;;0;0;;;0
79298;DD;NA;VU;0;;0;0;0;0;0;0;VU;0;0;0;0;;;;;0;0;;;0
60468;LC;LC;VU;NT;;NT;VU;DD;NT;NT;V;0;LC;VU;NT;MODE;;;;;0;VU;;;NT
60461;LC;LC;NT;NT;;LC;VU;NT;NT;NT;V;LC;LC;VU;NT;MODE;;;;;DD;NT;;;NT
60463;LC;LC;NT;NT;;LC;VU;NT;NT;NT;V;LC;LC;VU;0;MODE;;;;;DD;NT;;;NT
60527;LC;LC;LC;LC;;LC;LC;DD;LC;LC;AS;LC;LC;DD;DD;MODE;;;;;0;DD;;;LC
163463;LC;NT;VU;0;;0;0;0;0;0;0;DD;0;0;0;MODE;;;;;0;0;;;NT
60518;LC;LC;LC;LC;;LC;LC;DD;LC;DD;AS;0;LC;LC;LC;0;;;;;DD;NT;;;LC
60520;LC;LC;LC;LC;;LC;LC;DD;LC;DD;AS;0;LC;LC;LC;0;;;;;DD;NT;;;LC
60427;LC;NT;NT;0;;0;0;0;0;0;0;0;CR;0;0;FORT;;;;;0;0;;;EN
60313;LC;NT;LC;EN;;LC;VU;NT;LC;NT;E;NT;VU;EN;EN;MODE;;;;;NT;NT;;;NT
60479;LC;LC;NT;LC;;LC;LC;LC;LC;LC;AS;LC;LC;LC;NT;FAIB;;;;;0;LC;;;LC
79303;LC;LC;LC;LC;;LC;LC;LC;LC;LC;R;LC;LC;LC;LC;FAIB;;;;;0;DD;;;LC
60490;LC;LC;NT;LC;;VU;NT;DD;NT;NT;R;0;NT;NT;NT;MODE;;;;;DD;NT;;;NT
60489;LC;LC;LC;LC;;NT;DD;DD;DD;DD;AP;DD;DD;DD;DD;MODE;;;;;0;DD;;;NT
60337;VU;VU;CR*;0;;0;0;0;0;0;0;0;0;0;0;REDH;;;;;0;0;;;0
60330;NT;VU;LC;0;;CR;0;CR;0;VU;0;EN;CR;0;0;TRFO;;;;;CR;0;;;EN
60360;LC;LC;NT;VU;;LC;NT;LC;LC;LC;AS;LC;LC;LC;VU;FAIB;;;;;0;NT;;;LC
79302;LC;LC;DD;VU;;VU;0;0;0;0;AS;0;LC;0;0;MODE;;;;;0;0;;;NT
60506;LC;LC;LC;0;;LC;0;0;0;DD;0;LC;VU;0;0;MODE;;;;;0;0;;;LC
60537;LC;LC;DD;DD;;VU;0;NA;DD;NA;AS;0;LC;DD;NA;MODE;;;;;0;0;;;DD
